elevation, aspect, slope, horizontal_distance_to_hydrology,vertical_distance_to_hydrology, Horizontal_Distance_To_Roadways, Hillshade_Noon, Hillshade_3pm, Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2083,39,7,228,173,256,225,140,510,4,10,3
2424,85,12,0,0,900,220,112,1242,4,6,3
2425,106,21,153,66,630,210,79,365,4,3,3
2174,15,33,309,138,474,152,99,342,4,10,3
2428,98,13,234,74,216,222,110,488,4,3,3
2320,12,23,85,14,785,186,126,616,4,10,3
2374,327,26,150,70,277,201,187,240,4,10,3
2536,275,5,361,32,90,241,174,1974,4,6,3
2176,245,29,376,133,417,247,226,933,4,3,3
2519,315,14,365,72,60,228,185,1708,4,6,3
2455,45,7,190,30,755,225,138,1191,4,6,3
2323,13,21,120,10,390,191,128,618,4,10,3
2438,349,20,342,195,1129,203,159,967,4,6,3
2175,42,37,95,50,1176,135,43,1054,4,10,3
2321,114,31,108,49,1230,193,41,684,4,3,3
2301,333,29,300,153,1045,188,179,481,4,10,3
2297,251,36,497,-32,721,237,239,847,4,3,3
2075,99,31,153,47,270,182,33,531,4,3,3
2026,338,38,127,93,150,158,167,684,4,10,3
2345,293,17,258,51,1158,234,202,812,4,3,3
2238,316,23,42,16,886,214,198,285,4,10,3
2242,317,23,210,130,782,214,197,300,4,10,3
2426,129,33,277,136,1149,200,47,807,4,3,3
2283,29,21,361,76,270,189,110,1574,4,10,3
2151,316,27,170,64,390,205,202,485,4,10,3
2267,307,19,108,29,408,225,199,469,4,10,3
2307,303,28,192,91,984,214,216,127,4,10,3
2016,80,26,134,12,150,184,54,153,4,6,3
2214,214,27,60,27,1024,253,191,552,4,3,3
2254,300,16,362,173,1275,232,199,1138,4,10,3
2387,327,16,0,0,964,220,180,1307,4,6,3
2042,321,31,90,40,150,192,199,649,4,10,3
2040,312,39,150,107,258,181,214,469,4,10,3
2394,278,30,247,114,488,228,235,1838,4,10,3
2459,66,12,67,16,295,215,114,1891,4,6,3
2301,306,30,524,94,365,207,216,1749,4,10,3
2153,74,19,67,19,1317,201,86,371,4,3,3
2346,274,26,469,105,470,236,228,1800,4,10,3
2278,301,4,323,68,792,238,168,706,4,6,3
2411,253,8,210,73,1302,246,182,778,4,6,3
2372,120,18,212,85,1328,222,96,968,4,3,3
2377,118,6,175,97,1530,235,138,832,4,3,3
2400,112,24,60,13,607,206,67,391,4,3,3
2291,255,23,120,38,424,247,220,541,4,10,3
2145,344,27,330,143,424,187,163,127,4,5,3
2551,52,16,150,25,470,204,106,969,4,6,3
2341,226,26,150,61,552,253,204,1822,4,4,3
2386,75,15,30,8,618,212,103,1370,4,4,3
2324,272,26,485,186,582,237,228,1652,4,10,3
2392,51,9,0,0,899,221,129,1371,4,6,3
2424,332,23,190,13,750,204,180,1489,4,10,3
2450,36,18,30,0,780,196,110,319,4,6,3
2093,302,26,42,20,601,217,215,182,4,10,3
2097,29,25,212,132,247,178,100,124,4,10,3
2396,329,7,350,109,1168,232,167,1142,4,3,3
2396,19,16,362,208,942,203,131,1194,4,3,3
2230,314,29,210,108,1050,203,206,1194,4,10,3
2474,301,10,218,42,641,236,183,1486,4,6,3
2075,350,5,150,82,234,231,159,319,4,5,3
2309,343,35,162,127,1358,166,160,1127,4,10,3
2063,77,27,170,42,547,180,51,642,4,6,3
2308,328,9,190,70,700,230,171,566,4,6,3
2043,327,13,85,31,150,225,177,800,4,10,3
2362,339,25,212,101,589,197,171,531,4,10,3
2316,106,34,150,76,1575,177,20,319,4,3,3
2325,307,26,480,118,212,214,209,1650,4,10,3
2307,148,14,108,50,1041,238,126,875,4,6,3
2137,341,26,552,135,658,193,168,371,4,5,3
2474,94,4,153,23,806,234,144,1121,4,6,3
2259,81,24,30,14,1533,189,61,1050,4,10,3
2380,300,24,134,42,1383,222,212,825,4,10,3
2390,16,23,371,234,1104,186,121,1187,4,6,3
2412,304,25,153,68,301,219,211,816,4,10,3
2361,39,23,60,40,1155,183,95,1100,4,10,3
2165,266,21,162,81,1146,244,218,408,4,3,3
2459,86,10,525,189,895,224,120,1034,4,6,3
2206,74,15,162,23,190,211,102,376,4,3,3
2154,266,32,228,101,426,235,238,513,4,10,3
2225,355,38,85,40,510,146,133,571,4,10,3
2312,3,19,162,61,541,199,143,618,4,10,3
2274,6,34,124,77,1200,155,116,644,4,10,3
2280,348,36,272,155,1019,157,148,1230,4,10,3
2415,299,16,60,19,1020,232,198,1050,4,6,3
2271,273,40,120,64,339,217,248,1357,4,10,3
2415,20,28,108,36,924,170,104,644,4,10,3
2458,324,14,180,29,474,224,180,1820,4,10,3
2123,7,26,0,0,360,178,128,598,4,10,3
2455,69,20,95,11,693,197,83,426,4,3,3
2393,16,16,124,37,537,204,133,1073,4,10,3
2240,343,28,127,50,957,186,164,1374,4,10,3
2473,56,24,124,-3,882,181,73,912,4,10,3
2487,306,14,576,262,785,231,192,391,4,10,3
2378,334,15,474,213,1518,219,173,677,4,6,3
2133,121,30,283,69,458,200,50,888,4,3,3
2320,137,16,170,41,67,232,113,277,4,11,3
2413,180,26,108,57,319,245,142,1031,4,4,3
2088,169,1,30,-10,433,239,156,484,4,14,3
2089,62,26,85,21,170,176,62,566,4,10,3
2323,348,24,488,143,1173,193,159,1249,4,6,3
2252,47,19,42,9,616,195,99,618,4,10,3
2305,17,32,95,64,1403,158,101,1026,4,10,3
2441,99,14,255,79,216,221,106,499,4,3,3
2186,293,35,150,131,342,208,234,470,4,10,3
2293,111,19,67,18,170,216,87,306,4,11,3
2352,64,16,268,174,933,206,100,1343,4,3,3
2081,245,24,108,49,430,250,218,531,4,3,3
2273,313,29,127,66,918,205,207,192,4,10,3
2253,18,26,153,92,703,175,111,660,4,10,3
1965,111,31,42,17,120,189,36,443,4,3,3
2187,72,37,319,148,722,142,8,778,4,6,3
2413,350,22,216,100,319,198,157,216,4,10,3
2155,126,27,212,146,437,211,68,454,4,6,3
2465,76,4,247,14,891,232,143,1071,4,6,3
2033,97,18,330,72,454,212,89,108,4,5,3
2050,284,42,170,141,192,201,246,255,4,10,3
2333,284,9,335,-91,0,240,184,541,4,3,3
2114,232,33,162,112,270,247,219,60,4,5,3
2124,117,27,324,60,450,203,58,912,4,3,3
2283,355,22,85,20,366,195,151,458,4,10,3
2184,12,19,30,10,1357,197,133,693,4,10,3
2535,80,7,60,9,437,228,131,1053,4,6,3
2345,49,5,0,0,85,229,143,782,4,17,3
2232,291,31,212,156,1405,218,230,940,4,10,3
2453,85,11,319,91,283,221,114,443,4,3,3
2259,227,34,492,-70,552,247,213,841,4,3,3
2196,267,32,210,112,1252,233,239,511,4,3,3
2433,92,8,212,90,631,227,126,564,4,3,3
2371,327,17,518,246,808,218,181,1473,4,6,3
2268,120,20,150,33,212,218,87,808,4,3,3
2326,137,32,42,22,799,208,59,755,4,3,3
2346,54,28,134,94,1380,169,61,1124,4,3,3
1979,64,21,0,0,270,192,81,638,4,10,3
2304,319,9,0,0,469,232,175,1565,4,4,3
2024,237,36,30,18,297,243,227,335,4,3,3
2163,57,28,543,161,641,169,58,335,4,5,3
2028,99,45,120,87,150,138,0,339,4,3,3
2527,18,9,404,158,914,220,144,1385,4,10,3
2122,151,25,60,-1,660,231,103,696,4,6,3
2346,120,34,153,74,1189,189,33,745,4,3,3
2492,336,20,595,283,955,207,174,309,4,10,3
1947,341,32,30,24,60,177,167,644,4,10,3
2236,125,17,212,39,162,226,102,272,4,3,3
2334,337,24,180,76,641,199,174,511,4,10,3
2148,349,22,30,12,997,197,158,666,4,10,3
2178,235,10,67,1,255,249,182,446,4,3,3
2122,347,19,30,0,745,206,161,531,4,14,3
1964,169,19,30,6,134,244,137,424,4,3,3
2370,298,20,95,27,268,229,207,780,4,10,3
2061,93,27,175,41,277,189,50,648,4,3,3
2502,345,7,323,19,450,229,161,1677,4,6,3
2029,304,32,30,22,85,204,220,700,4,17,3
2170,5,17,537,125,576,204,144,845,4,10,3
2304,112,24,234,65,297,208,70,834,4,3,3
2393,52,11,297,93,424,216,123,395,4,4,3
2301,358,21,60,43,1421,196,148,781,4,10,3
2161,329,17,67,8,1320,218,179,658,4,10,3
2076,253,38,67,48,371,233,242,618,4,3,3
2003,113,31,212,91,216,191,39,631,4,3,3
2545,40,17,190,68,902,200,111,1052,4,6,3
1876,25,17,124,26,150,200,123,836,4,3,3
2055,305,37,190,159,277,192,223,408,4,10,3
2362,64,25,150,31,95,181,66,782,4,4,3
2081,62,35,175,129,216,147,26,67,4,3,3
2324,270,27,190,117,350,237,230,1440,4,10,3
2461,255,7,162,53,234,244,178,408,4,6,3
2272,302,24,379,229,467,222,211,745,4,10,3
2058,119,32,228,105,268,193,40,484,4,3,3
2214,331,37,258,119,480,168,182,417,4,10,3
2061,242,36,67,32,408,241,232,576,4,3,3
2148,147,33,162,67,484,216,74,510,4,6,3
2504,46,26,162,27,853,174,76,934,4,10,3
2397,37,15,408,241,1062,207,120,1167,4,6,3
2408,298,22,42,21,932,226,211,1332,4,10,3
2238,9,22,150,48,1022,190,131,268,4,10,3
2027,106,34,247,25,256,176,20,663,4,3,3
2174,329,36,42,28,1260,173,185,1443,4,10,3
2342,230,7,242,76,592,247,175,711,4,4,3
2467,240,10,162,50,182,249,186,331,4,6,3
2363,349,15,180,106,1557,213,160,860,4,3,3
1967,81,14,120,35,120,214,104,256,4,6,3
2320,11,24,67,34,1381,184,126,842,4,10,3
2323,355,21,404,214,1114,197,151,1266,4,10,3
2256,1,20,0,0,571,199,145,537,4,10,3
2107,342,22,339,-3,417,202,168,700,4,10,3
2214,54,20,309,72,525,194,92,376,4,6,3
2431,105,28,247,-18,693,193,48,553,4,3,3
2424,107,16,201,66,170,219,97,534,4,3,3
2154,113,10,134,20,1315,230,123,362,4,3,3
2306,345,13,277,33,1207,218,164,892,4,6,3
2432,3,14,30,2,841,212,148,1279,4,6,3
2510,56,17,390,146,834,202,100,1390,4,10,3
2444,354,20,564,254,1298,200,153,495,4,10,3
2383,57,21,120,43,175,190,83,930,4,4,3
2352,25,31,127,31,845,159,91,661,4,10,3
1922,358,6,0,0,0,228,156,658,4,10,3
2488,357,8,256,45,108,226,156,1729,4,6,3
2304,31,16,108,16,751,203,121,638,4,3,3
2404,93,22,127,50,900,202,72,1068,4,5,3
2244,60,19,270,182,134,196,89,384,4,3,3
2458,281,30,256,15,390,225,234,1852,4,10,3
2352,108,28,67,27,234,194,47,726,4,4,3
2417,36,19,371,229,914,194,107,1127,4,3,3
2372,333,26,272,113,607,197,180,492,4,10,3
2492,293,14,255,50,283,236,196,1974,4,10,3
2490,282,18,309,76,120,238,210,638,4,10,3
2285,321,26,127,56,976,206,195,240,4,10,3
2459,153,15,571,153,882,239,128,1082,4,6,3
2273,316,23,124,28,547,214,197,1825,4,4,3
2094,99,28,480,133,589,188,44,242,4,5,3
2073,271,27,108,62,170,236,231,576,4,10,3
2399,23,22,60,21,534,188,115,999,4,10,3
2297,8,25,60,32,390,181,128,636,4,10,3
2451,106,20,170,64,721,211,81,272,4,3,3
2239,357,33,190,111,853,160,134,402,4,10,3
2350,272,23,390,98,319,239,222,663,4,10,3
2380,312,26,60,29,1071,211,205,1173,4,10,3
2307,358,31,228,163,1082,167,136,1450,4,10,3
2451,243,23,201,34,150,251,214,360,4,6,3
2137,328,36,335,245,362,174,187,124,4,10,3
2442,27,25,108,50,553,178,102,1050,4,10,3
2152,42,28,256,117,446,165,72,361,4,10,3
2307,259,14,313,83,864,247,199,124,4,6,3
2067,99,29,150,40,553,188,43,661,4,6,3
2481,6,13,170,31,934,214,147,313,4,6,3
2600,305,11,300,113,816,234,185,1065,4,10,3
2192,107,11,30,0,150,226,116,309,4,3,3
2113,242,20,192,81,402,252,209,534,4,3,3
2318,313,17,404,45,1329,225,192,895,4,6,3
2313,35,38,85,61,1421,131,52,1065,4,10,3
2390,284,31,153,110,350,223,234,1668,4,10,3
2094,333,34,85,46,127,175,179,872,4,10,3
2449,125,6,90,19,853,236,139,1374,4,6,3
2285,14,24,350,127,1421,183,122,872,4,10,3
2027,341,16,433,47,552,214,168,437,4,5,3
2311,99,16,247,49,85,217,98,182,4,11,3
2266,259,22,339,90,661,246,219,577,4,6,3
2066,253,35,90,36,418,237,239,513,4,10,3
2075,73,32,242,60,510,161,30,551,4,6,3
2126,359,33,300,161,366,160,131,270,4,10,3
2373,132,14,212,86,1187,232,116,1027,4,3,3
1984,53,24,0,0,300,182,78,658,4,10,3
2414,99,6,240,76,1248,232,136,782,4,6,3
2108,79,21,67,13,306,198,76,902,4,3,3
2270,335,18,376,128,876,213,174,1044,4,10,3
2198,350,23,120,42,1371,195,157,900,4,10,3
2278,305,31,150,82,872,207,217,1489,4,10,3
2027,176,25,67,21,323,244,138,579,4,3,3
2328,182,8,234,53,576,246,156,726,4,4,3
2301,101,18,212,39,127,214,89,218,4,11,3
2274,357,14,234,122,658,214,154,630,4,6,3
2035,312,39,162,129,255,181,213,426,4,10,3
2321,352,26,42,12,1208,185,152,277,4,10,3
2213,272,35,228,128,1507,225,244,778,4,10,3
2409,124,2,309,168,319,237,151,1840,4,6,3
2419,92,12,309,73,313,222,112,433,4,3,3
2159,306,20,459,157,560,224,202,277,4,5,3
2416,117,16,175,62,150,224,103,553,4,4,3
2043,88,18,210,114,234,209,88,497,4,3,3
2198,298,35,153,121,1385,205,229,924,4,10,3
2339,343,19,362,190,1233,208,166,636,4,6,3
2370,324,28,153,40,671,197,192,503,4,10,3
2352,131,25,85,47,819,217,77,751,4,3,3
2299,217,24,162,83,994,254,193,510,4,3,3
2425,334,14,384,232,1103,220,173,1041,4,6,3
2257,48,29,382,174,454,163,62,595,4,10,3
2290,330,33,162,69,641,180,184,1797,4,10,3
2346,93,9,85,6,437,227,125,774,4,3,3
2411,354,18,342,159,1146,205,155,1123,4,10,3
2140,317,19,342,137,400,219,192,633,4,10,3
2226,30,20,361,84,480,194,113,1692,4,10,3
2200,3,22,402,191,450,191,139,421,4,10,3
2285,214,14,134,32,382,252,179,503,4,10,3
2244,357,33,201,133,636,161,134,242,4,10,3
2293,86,11,42,3,1092,222,117,793,4,5,3
2175,187,20,150,39,190,250,157,451,4,3,3
2303,324,22,162,52,735,211,188,433,4,10,3
2431,23,4,256,41,824,231,151,830,4,3,3
2470,340,16,577,80,1242,214,169,524,4,6,3
2456,326,22,124,55,751,210,186,1507,4,10,3
2047,298,33,42,24,108,207,227,642,4,10,3
2393,61,14,67,21,1060,209,107,1194,4,6,3
2322,343,11,395,103,721,224,164,437,4,6,3
2127,82,29,540,166,644,177,42,295,4,5,3
2194,297,33,153,114,400,209,228,446,4,10,3
2221,114,30,42,23,930,195,45,955,4,6,3
2396,344,25,162,81,255,193,164,162,4,10,3
2214,7,24,60,17,1567,186,132,900,4,10,3
2246,23,24,313,110,1298,182,111,726,4,10,3
2465,311,34,90,51,366,193,213,937,4,10,3
2311,308,24,190,64,742,217,206,408,4,10,3
2226,357,37,30,21,510,148,129,569,4,10,3
2180,306,10,201,42,663,235,183,1601,4,10,3
2165,59,26,124,31,1355,177,66,323,4,3,3
2047,131,26,210,87,247,216,75,437,4,3,3
2488,312,7,242,45,180,235,173,1718,4,6,3
2189,292,31,60,32,659,217,229,1507,4,10,3
2604,13,13,391,117,752,213,142,997,4,11,3
2437,338,25,417,237,1167,197,173,752,4,10,3
2205,313,24,180,133,108,213,202,516,4,10,3
2325,30,19,85,40,1243,196,116,908,4,3,3
2506,100,21,170,37,953,207,76,742,4,3,3
2289,9,14,85,18,690,212,144,624,4,3,3
2475,112,26,228,8,659,203,61,1316,4,5,3
2226,336,36,277,139,480,166,173,433,4,10,3
2481,319,11,180,49,663,230,178,1421,4,6,3
2276,357,23,150,71,933,193,148,212,4,10,3
2233,229,35,541,-96,595,246,216,890,4,3,3
2111,303,39,228,215,256,188,226,175,4,10,3
2497,303,16,256,62,342,230,196,1867,4,10,3
2334,104,38,212,106,1661,163,0,258,4,3,3
2404,289,17,180,66,1269,235,206,819,4,6,3
2445,342,13,361,213,1110,219,166,938,4,6,3
2487,316,21,503,236,616,217,196,518,4,10,3
2143,170,32,247,124,547,234,116,258,4,3,3
2252,358,18,350,163,510,205,150,467,4,10,3
2465,69,13,85,22,283,214,110,1869,4,6,3
2050,336,29,67,48,127,187,176,450,4,10,3
2487,104,16,210,36,708,217,95,1252,4,6,3
2404,104,24,90,17,603,201,62,390,4,3,3
1960,325,26,67,46,108,201,189,433,4,10,3
2483,29,19,604,93,1084,195,114,384,4,6,3
2435,105,13,108,24,713,224,110,1529,4,6,3
2376,7,14,309,119,1256,212,145,1148,4,3,3
2138,341,33,67,22,1224,173,166,1020,4,10,3
2361,139,20,201,77,1396,230,104,920,4,3,3
2271,353,28,90,53,323,179,147,1148,4,10,3
2243,356,34,459,86,633,160,136,780,4,10,3
2277,211,24,124,61,1034,254,186,524,4,3,3
2450,82,3,201,45,849,233,144,1104,4,6,3
2314,139,20,90,27,1237,229,103,930,4,3,3
2420,21,29,95,42,573,166,101,1040,4,10,3
2190,336,36,95,37,1026,168,173,765,4,10,3
2328,292,42,175,121,234,193,240,1317,4,10,3
2414,306,17,134,32,335,228,197,782,4,10,3
2061,122,36,342,156,350,186,27,815,4,3,3
2430,263,27,228,38,212,241,230,503,4,10,3
2368,48,19,277,121,1260,196,99,1237,4,3,3
2568,352,16,450,81,870,210,157,1129,4,10,3
1981,60,34,272,114,300,151,33,947,4,3,3
2431,23,24,256,80,666,180,109,1234,4,10,3
2385,313,25,180,88,459,212,203,661,4,10,3
2515,318,12,339,73,201,229,180,1978,4,6,3
2360,274,23,234,152,190,238,222,1275,4,3,3
2240,288,21,339,110,576,233,215,511,4,10,3
2184,318,39,42,31,1370,175,204,1230,4,10,3
2286,316,29,150,74,937,201,203,175,4,10,3
2359,284,21,90,18,85,235,215,696,4,10,3
2186,322,32,323,133,458,190,197,459,4,10,3
2347,233,26,95,45,1095,252,212,153,4,6,3
